Sequence#	Timestamp	Level	Hostname	Logger	Thread	Id	ServiceUser	Message	ProxySessionId	ActiveUserDirectory	ActiveUserId	EngineTimestamp	EngineThread	ProcessId	SessionId	QixRequestId	AppId	App Title	SSEPlugin	SSEPluginAddress	Id2
1	20180618T175022.442-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	43	e6f17264-cf52-494d-b94d-f50c48eee178	TIM\usrnac	Updating SSE settings.	0	Internal	Engine	20180618T175022.411-0500	7768	9732		45	-	-	-	-	e6f17264-cf52-494d-b94d-f50c48eee178
2	20180618T175022.458-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	43	77700fd2-bcdf-4ead-b80e-d43e64580876	TIM\usrnac	Removing SSE plugin with name: R	0	Internal	Engine	20180618T175022.426-0500	7768	9732		45	-	-	-	-	77700fd2-bcdf-4ead-b80e-d43e64580876
3	20180618T175022.473-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	120	488ad9d9-264f-4b48-b128-cf5d0f8d1af1	TIM\usrnac	SSE settings updated.	0	Internal	Engine	20180618T175022.426-0500	7768	9732		45	-	-	-	-	488ad9d9-264f-4b48-b128-cf5d0f8d1af1
4	20180618T180716.038-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	94	78abfc41-4a10-4325-adfb-5d72fce282b2	TIM\usrnac	Updating SSE settings.	0	Internal	Engine	20180618T180716.023-0500	7768	9732		45	-	-	-	-	78abfc41-4a10-4325-adfb-5d72fce282b2
5	20180618T180716.054-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	94	91639d1b-ba0b-464f-93ae-364116340091	TIM\usrnac	Adding new SSE plugin (non-secure connection). Name: R , address: localhost:50051	0	Internal	Engine	20180618T180716.038-0500	7768	9732		45	-	-	-	-	91639d1b-ba0b-464f-93ae-364116340091
6	20180618T180718.082-0500	WARN	PTC03PREDIQTLP0	SSE.Engine.Engine	94	c63eb5d0-e252-4827-8348-7ccedd76db9f	TIM\usrnac	Failed for localhost:50051 error code : 14	0	Internal	Engine	20180618T180718.082-0500	7768	9732		45	-	-	-	-	c63eb5d0-e252-4827-8348-7ccedd76db9f
7	20180618T180718.097-0500	WARN	PTC03PREDIQTLP0	SSE.Engine.Engine	91	55eba193-6dd5-4af4-8829-725ae045d462	TIM\usrnac	Failed to initialize gRPC communication for SSEPlugin R	0	Internal	Engine	20180618T180718.082-0500	7768	9732		45	-	-	-	-	55eba193-6dd5-4af4-8829-725ae045d462
8	20180618T180718.113-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	94	c4678774-041a-434e-897e-b112cc605bd7	TIM\usrnac	SSE settings updated.	0	Internal	Engine	20180618T180718.082-0500	7768	9732		45	-	-	-	-	c4678774-041a-434e-897e-b112cc605bd7
9	20180618T180718.129-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	91	c6fff54d-8a21-4bc9-8c52-8e4e23fa6d5b	TIM\usrnac	Beginning retries adding SSE plugin R	0	Internal	Engine	20180618T180718.082-0500	7768	9732		45	-	-	-	-	c6fff54d-8a21-4bc9-8c52-8e4e23fa6d5b
10	20180618T180738.101-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	122	6cfeb02e-4efb-4ccc-82c2-0702220d616a	TIM\usrnac	Retrying add SSE plugin for 'R'	0	Internal	Engine	20180618T180738.101-0500	8992	9732		45	-	-	-	-	6cfeb02e-4efb-4ccc-82c2-0702220d616a
11	20180618T180738.116-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	109	ab05bb7a-f5f6-43ee-aea6-fe72643af15c	TIM\usrnac	Adding new SSE plugin (non-secure connection). Name: R , address: localhost:50051	0	Internal	Engine	20180618T180738.101-0500	8992	9732		45	-	-	-	-	ab05bb7a-f5f6-43ee-aea6-fe72643af15c
12	20180618T180740.144-0500	WARN	PTC03PREDIQTLP0	SSE.Engine.Engine	109	60d33c94-b397-4ece-a1d5-8405186d866c	TIM\usrnac	Failed for localhost:50051 error code : 14	0	Internal	Engine	20180618T180740.144-0500	8992	9732		45	-	-	-	-	60d33c94-b397-4ece-a1d5-8405186d866c
13	20180618T180740.160-0500	WARN	PTC03PREDIQTLP0	SSE.Engine.Engine	122	3dd67afd-278d-4be0-95e2-6ded9eb0c3f7	TIM\usrnac	Failed to initialize gRPC communication for SSEPlugin R	0	Internal	Engine	20180618T180740.144-0500	8992	9732		45	-	-	-	-	3dd67afd-278d-4be0-95e2-6ded9eb0c3f7
14	20180618T180820.158-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	122	21352578-eae8-4e55-893c-4d53b07918d0	TIM\usrnac	Retrying add SSE plugin for 'R'	0	Internal	Engine	20180618T180820.158-0500	8992	9732		45	-	-	-	-	21352578-eae8-4e55-893c-4d53b07918d0
15	20180618T180820.174-0500	INFO	PTC03PREDIQTLP0	SSE.Engine.Engine	91	3b038261-e344-40e0-bb2e-b03e47b1b23f	TIM\usrnac	Adding new SSE plugin (non-secure connection). Name: R , address: localhost:50051	0	Internal	Engine	20180618T180820.158-0500	8992	9732		45	-	-	-	-	3b038261-e344-40e0-bb2e-b03e47b1b23f
16	20180618T180822.218-0500	WARN	PTC03PREDIQTLP0	SSE.Engine.Engine	91	87e476d4-fcf9-4a08-90c3-26053feff664	TIM\usrnac	Failed for localhost:50051 error code : 14	0	Internal	Engine	20180618T180822.218-0500	8992	9732		45	-	-	-	-	87e476d4-fcf9-4a08-90c3-26053feff664
